{'username': '', 'id': 5161865066, 'access_hash': 7981850688740619375, 'name': 'Максим Шнягов'}   Не корректное имя user
{'username': '', 'id': 5161865066, 'access_hash': 7981850688740619375, 'name': 'Максим Шнягов'}   Не корректное имя user
{'username': 'noname72113', 'id': 442282712, 'access_hash': 6884681329297991897, 'name': '🤾🏼\u200d♂️'}   Не корректное имя user
{'username': 'oleksiy_zm', 'id': 696568523, 'access_hash': 6362159229698403569, 'name': 'Oleksii'}
{'username': 'khalimov1111', 'id': 711687219, 'access_hash': -5573419348333081385, 'name': 'Kh*'}
{'username': 'Dezigner_1', 'id': 732345107, 'access_hash': -5803653433155099425, 'name': 't1tov.inc'}   Превышен лимит у user каналов / супергрупп.
{'username': 'babbzunis', 'id': 754337631, 'access_hash': 4761457583573043558, 'name': 'Valeev17'}
{'username': 'rvxlzq', 'id': 970099119, 'access_hash': -1296241468201834590, 'name': '𝖗𝖛𝖝𝖑𝖟𝖖'}
{'username': 'mhrseg', 'id': 975591992, 'access_hash': -6687666129606219379, 'name': 'chipchilinka'}   Превышен лимит у user каналов / супергрупп.
{'username': '', 'id': 1042143130, 'access_hash': -3057147973245093452, 'name': '🌹 πρεκραςнα 🌹'}   Не корректное имя user
{'username': 'cxvxalt', 'id': 1093796678, 'access_hash': 5097816317118552127, 'name': '💗'}
{'username': 'victorrovnaaa', 'id': 1134969381, 'access_hash': 8732718412592041372, 'name': '𝙰𝚗𝚊𝚜𝚝𝚊𝚜𝚒𝚊 𝙳𝚎𝚛𝚖𝚎𝚗𝚝𝚕𝚒'}   Превышен лимит у user каналов / супергрупп.
{'username': 'Rastaman_2005', 'id': 1137198673, 'access_hash': -3003566867658505568, 'name': 'Жаска'}
{'username': 'weetase', 'id': 1291734826, 'access_hash': 1561790716161887199, 'name': '...'}
{'username': 'Sparrow535', 'id': 1344494956, 'access_hash': 7895135344778978771, 'name': 'Sparrow'}   Превышен лимит у user каналов / супергрупп.
{'username': 'ssxaw', 'id': 1357191144, 'access_hash': -7075022901024788131, 'name': 'сода'}
{'username': 'mmmmmilqq', 'id': 1359291162, 'access_hash': 7852225299190678145, 'name': '\U0001f90c🏻\U0001fac0'}
{'username': 'Daris122', 'id': 1477608584, 'access_hash': -790473884190063098, 'name': 'Ꭰᴇʙᴏчᴋᴀ ᴄ хᴀᴩᴀᴋᴛᴇᴩᴏʍ 💫'}   Превышен лимит у user каналов / супергрупп.
{'username': '', 'id': 1479338359, 'access_hash': -2976264258650730129, 'name': 'Никита'}   Не корректное имя user
{'username': '', 'id': 1485217915, 'access_hash': -2506921954279305645, 'name': 'omg'}   Не корректное имя user
{'username': 'Dasha_gr_3', 'id': 1517335204, 'access_hash': 2497773439608651440, 'name': 'Vlad_373'}
{'username': '', 'id': 1631764333, 'access_hash': 670322265044543689, 'name': '❤🐻Вероника Севостьянова🐻❤'}   Не корректное имя user
{'username': '', 'id': 1663766905, 'access_hash': 5555418320192161857, 'name': '🔥💧🔥kostya🌊💧🔥'}   Не корректное имя user
{'username': '', 'id': 1688453396, 'access_hash': -968152199472068243, 'name': 'Дима'}   Не корректное имя user
{'username': 'Int1mk1', 'id': 1867630171, 'access_hash': -1860073499570958507, 'name': 'Даня'}
{'username': 'ssshortyyyy', 'id': 1933508717, 'access_hash': -3902561240626684413, 'name': 'Aciddrop'}
{'username': '', 'id': 1946287190, 'access_hash': -7235105269124998232, 'name': 'Chop is Dish'}   Не корректное имя user
{'username': 'futfutik', 'id': 1946421687, 'access_hash': 4258315834423993829, 'name': 'troy 2.0'}   Не корректное имя user
{'username': '', 'id': 1952920393, 'access_hash': 3830058111534885290, 'name': 'артем'}   Не корректное имя user
{'username': 'Kto_to_34', 'id': 2064955096, 'access_hash': 394140183499673429, 'name': '<3'}
{'username': 'Clown950', 'id': 5068163722, 'access_hash': -7749541764665402357, 'name': '🤡Самира 🤡'}   Не корректное имя user
{'username': 'Neonqqw', 'id': 5094599759, 'access_hash': -8680105590532320765, 'name': '🌼Тяночка🌼'}
{'username': 'dandyy_ladan', 'id': 5116053086, 'access_hash': -3558176383030811398, 'name': 'dandmyyняша Киц'}
{'username': 'kxkxkd88', 'id': 5182108121, 'access_hash': -5467981926311920452, 'name': '1'}   Не корректное имя user
{'username': 'nikita_desyatnikov1', 'id': 5229714606, 'access_hash': -4274886743872033111, 'name': 'Никита'}
{'username': 'Supper_pupper45', 'id': 5308226941, 'access_hash': -1012963374340453509, 'name': 'Варвара'}
{'username': '', 'id': 5317206108, 'access_hash': 2318825044253015352, 'name': 'Катя'}   Не корректное имя user
{'username': 'milana3301', 'id': 5320590163, 'access_hash': -1644531208096311689, 'name': 'Милана'}
{'username': 'T857565', 'id': 5351243579, 'access_hash': -7082732622058528400, 'name': 'Макс'}
{'username': 'zamorodgenaya', 'id': 5353478690, 'access_hash': 3522136992223136888, 'name': 'меня редисит'}
{'username': 'Deadlp', 'id': 475036788, 'access_hash': 8747267345194449414, 'name': 'Deadlp'}
{'username': 'siiiiid_0', 'id': 486310498, 'access_hash': -2863020561165189330, 'name': 'Диана'}
{'username': 'ChatKeeperBot', 'id': 553147242, 'access_hash': 3960406544809015029, 'name': 'ChatKeeperBot'}   Требуются права администратора.
{'username': 'Daniel9999', 'id': 481244800, 'access_hash': 4143638912253174978, 'name': '★ Đ₳₦łɆⱠ ★'}
{'username': 'krassavchik', 'id': 1384735398, 'access_hash': 4788305553756568652, 'name': '🤑С̱υ̱м̱π̱α̱τ̱υ̱ч̱н̱ы̱й̱🤑'}   Превышен лимит у user каналов / супергрупп.
{'username': 'fffttttfttf', 'id': 602494602, 'access_hash': 8170924273329485929, 'name': 'Никита'}
{'username': '', 'id': 693161783, 'access_hash': 6725226356896648129, 'name': 'Коля'}   Не корректное имя user
{'username': '', 'id': 742384646, 'access_hash': -5785241261570915956, 'name': 'Yura'}   Не корректное имя user
{'username': 'Chorny7777', 'id': 766337205, 'access_hash': -3668493954190253528, 'name': 'Олег'}
{'username': 'ripbs', 'id': 792640756, 'access_hash': 1520432086943020206, 'name': '$a®∆ør'}
{'username': '', 'id': 837662465, 'access_hash': -3372922856287510721, 'name': 'Валентина'}   Не корректное имя user
{'username': 'nodiiik', 'id': 857908067, 'access_hash': 2739979021765275797, 'name': '⸙ꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋ 𝕟𝕒𝕕𝕚𝕣𝕛𝕒𝕟๛'}
{'username': 'mkuanmnmlkh', 'id': 891576364, 'access_hash': 6170146348603759443, 'name': 'mkua'}   Превышен лимит у user каналов / супергрупп.
{'username': 'Jenya231', 'id': 892308902, 'access_hash': 859948439324613120, 'name': 'Женя'}   Превышен лимит у user каналов / супергрупп.
{'username': 'Ratttttr', 'id': 924741117, 'access_hash': 6316887500186544556, 'name': 'Rat 🐁'}
{'username': 'SYKABLRT', 'id': 945734606, 'access_hash': 3797463830907045253, 'name': 'Monkey D Luffy'}
